Item ID,Name,Description /Size in inches,Category,Material,Weight (grams),Unit Price,Quantity,Total Value,Added on Date,Image,Image Link,
,Bangarada Kireeta,Utsava Murthi,Ornament,Gold,41.55,276041.5,1,276041.5,2024-06-01 13:00,20240707_114336.jpg,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
2,Bangarada long sara with Dollar,,Ornament,Gold,40.37,268460.5,1,268460.5,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
3,Bangarada short sara with dollar 9 stones,,Ornament,Gold,7,46550,1,46550,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
4,Bangarada Tilaka,With stone,Ornament,Gold,12.38,82327,1,82327,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
5,Bangarada Tilaka,With stone,Ornament,Gold,8.14,54131,1,54131,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
6,Bangarada Tilaka,With stone,Ornament,Gold,7.53,50074.5,1,50074.5,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
7,Bangarada Kannu (Pair),,Ornament,Gold,5,33250,1,33250,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
8,Bangarada Kannu (Pair),Sanna Kannu with wax,Ornament,Gold,3.75,24937.5,1,24937.5,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
9,Bangarada Kannu (Pair),Sanna Kannu with wax,Ornament,Gold,3.15,20947.5,1,20947.5,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
10,Lakshmi Kasu,,Ornament,Gold,0.56,3724,6,22344,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
12,Belli sara,Gold-plated (Kanaka lepita) with Thread (Kanakabhisheka),Ornament,Silver,87.9,8218.65,1,8218.65,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
11,Belli sara,Gold-plated (Kanaka lepita) with Thread (Kanakabhisheka),Ornament,Silver,59.7,5581.95,1,5581.95,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
13,Belli sara,Gold-plated (Kanaka lepita) with Thread (Kanakabhisheka),Ornament,Silver,74.75,6989.125,1,6989.125,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
14,Belli Kavacha,"Utsava murthi, with 2 Kaigalu, Big",Ornament,Silver,277,25899.5,1,25899.5,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
15,Belli Peta,"Utsava murthi, Big",Ornament,Silver,44,4114,1,4114,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
16,Belli Kireeta,With 3 strands and side bass with Havala,Ornament,Silver,105,9817.5,1,9817.5,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
17,Belli Kireeta,With 2 strands,Ornament,Silver,65,6077.5,1,6077.5,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
18,Dvaadasa namagalu,13 pieces,Ornament,Silver,123,11500.5,1,11500.5,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
