Item ID,Name,Description /Size in inches,Category,Material,Weight (grams),Unit Price,Quantity,Total Value,Added on Date,Image,Image Link,
,Bangarada Kireeta,Utsava Murthi,Ornament,Gold,41.55,276041.5,1,276041.5,2024-06-01 13:00,,https://lh3.googleusercontent.com/d/1FdBXz5iJiDdBZyE3x-Ow21W43Um9QvLL,
2,Bangarada long sara with Dollar,,Ornament,Gold,40.37,268460.5,1,268460.5,02/06/2024,,20240707_114425.jpg,
3,Bangarada short sara with dollar 9 stones,,Ornament,Gold,7,46550,1,46550,02/06/2024,,20240707_114616.jpg,
4,Bangarada Tilaka,With stone,Ornament,Gold,12.38,82327,1,82327,02/06/2024,,20240707_114855.jpg,
5,Bangarada Tilaka,With stone,Ornament,Gold,8.14,54131,1,54131,02/06/2024,,20240707_114902.jpg,
6,Bangarada Tilaka,With stone,Ornament,Gold,7.53,50074.5,1,50074.5,02/06/2024,,20240707_114908.jpg,
7,Bangarada Kannu (Pair),,Ornament,Gold,5,33250,1,33250,02/06/2024,,20240707_115015.jpg,
8,Bangarada Kannu (Pair),Sanna Kannu with wax,Ornament,Gold,3.75,24937.5,1,24937.5,02/06/2024,,20240707_115025.jpg,
9,Bangarada Kannu (Pair),Sanna Kannu with wax,Ornament,Gold,3.15,20947.5,1,20947.5,02/06/2024,,20240707_115032.jpg,
10,Lakshmi Kasu,,Ornament,Gold,0.56,3724,6,22344,02/06/2024,,20240707_115109.jpg,
12,Belli sara,Gold-plated (Kanaka lepita) with Thread (Kanakabhisheka),Ornament,Silver,87.9,8218.65,1,8218.65,02/06/2024,,20240707_115324.jpg,
11,Belli sara,Gold-plated (Kanaka lepita) with Thread (Kanakabhisheka),Ornament,Silver,59.7,5581.95,1,5581.95,02/06/2024,,20240707_115802.jpg,
13,Belli sara,Gold-plated (Kanaka lepita) with Thread (Kanakabhisheka),Ornament,Silver,74.75,6989.125,1,6989.125,02/06/2024,,20240707_115835.jpg,
14,Belli Kavacha,"Utsava murthi, with 2 Kaigalu, Big",Ornament,Silver,277,25899.5,1,25899.5,02/06/2024,,20240707_120029.jpg,
15,Belli Peta,"Utsava murthi, Big",Ornament,Silver,44,4114,1,4114,02/06/2024,,20240707_120113.jpg,
16,Belli Kireeta,With 3 strands and side bass with Havala,Ornament,Silver,105,9817.5,1,9817.5,02/06/2024,,20240707_120515.jpg,
17,Belli Kireeta,With 2 strands,Ornament,Silver,65,6077.5,1,6077.5,02/06/2024,,20240707_120529.jpg,
18,Dvaadasa namagalu,13 pieces,Ornament,Silver,123,11500.5,1,11500.5,02/06/2024,,20240707_120721.jpg,
19,Belli thatte,12.75 inches,Pooja Items,Silver,800,74800,1,74800,02/06/2024,,20240707_121154.jpg,
20,Belli thatte,11 inches,Pooja Items,Silver,553,51705.5,1,51705.5,02/06/2024,,20240707_121533.jpg,
21,Belli thatte,10.5 inches,Pooja Items,Silver,446,41701,1,41701,02/06/2024,,20240707_121612.jpg,
22,Belli thatte,8 inches,Pooja Items,Silver,207,19354.5,1,19354.5,02/06/2024,,20240707_121635.jpg,
23,Belli thatte,8 inches,Pooja Items,Silver,202,18887,1,18887,02/06/2024,,20240707_121806.jpg,
24,Belli thatte,7.5 inches,Pooja Items,Silver,168,15708,1,15708,02/06/2024,,20240707_121825.jpg,
25,Belli thatte,"9 inches, ",Pooja Items,Silver,334,31229,1,31229,02/06/2024,,20240707_121852.jpg, 2 nilanjana (removed)
26,Belli thatte,"6 inches, with 2 nilanjana",Pooja Items,Silver,130,12155,1,12155,02/06/2024,,20240707_121913.jpg,
27,Belli baale ele,12 inches,Pooja Items,Silver,474,44319,1,44319,02/06/2024,,20240707_121942.jpg,
28,Panchamruta tatte with 6 cups,14 inches,Pooja Items,Silver,2517,235339.5,1,235339.5,02/06/2024,,20240707_122137.jpg,
29,Somasutra,10.5 x 7.5 inches,Pooja Items,Silver,328,30668,1,30668,02/06/2024,,20240707_122227.jpg,
30,Somasutra,9.5 x 7,Pooja Items,Silver,209,19541.5,1,19541.5,02/06/2024,,20240707_122315.jpg,
31,Halagaarati,12 inches,Pooja Items,Silver,260,24310,1,24310,02/06/2024,,20240707_122401.jpg,
32,Halagaarati,10 inches,Pooja Items,Silver,121,11313.5,1,11313.5,02/06/2024,,20240707_122529.jpg,
33,Halagaarati,9 inches,Pooja Items,Silver,115,10752.5,1,10752.5,02/06/2024,,20240707_122749.jpg,
34,"Halagaarati, 3 batti",6 inches,Pooja Items,Silver,50,4675,1,4675,02/06/2024,,20240707_122816.jpg,
35,"Halagaarati, 5 batti",4.5 inches,Pooja Items,Silver,40,3740,1,3740,02/06/2024,,20240707_122828.jpg,
36,"Aarati with Stand and handle, 16 batti",7 inches,Pooja Items,Silver,194,18139,1,18139,02/06/2024,,20240707_122906.jpg,
37,Thera arati,12 inches,Pooja Items,Silver,677,63299.5,1,63299.5,02/06/2024,,20240707_123007.jpg,
38,Dhoopa aarathi,4 inches,Pooja Items,Silver,40,3740,1,3740,02/06/2024,,20240707_123029.jpg,
39,Panchapatre,3 inches,Pooja Items,Silver,76,7106,1,7106,02/06/2024,,20240707_123534.jpg,
40,Panchapatre,2.5 inches,Pooja Items,Silver,65,6077.5,2,12155,02/06/2024,,20240707_123550.jpg,
41,Panchapatre,2 inches,Pooja Items,Silver,58.5,5469.75,2 - 1,#VALUE!,02/06/2024,,20240707_123601.jpg,"1 removed  from stock - White metal, not silver"
42,Uddharane,Different sizes,Pooja Items,Silver,112,10472,7,73304,02/06/2024,,20240707_123653.jpg,
43,Thambige,4.75,Pooja Items,Silver,408,38148,1,38148,02/06/2024,,20240707_123901.jpg,
44,Thambige,4.75,Pooja Items,Silver,224,20944,1,20944,02/06/2024,,20240707_124059.jpg,
45,Thambige,4.25,Pooja Items,Silver,168,15708,1,15708,02/06/2024,,20240707_124112.jpg,
46,Gindi,4.5,Pooja Items,Silver,208,19448,1,19448,02/06/2024,,20240707_123959.jpg,
47,Gindi,4.5,Pooja Items,Silver,287,26834.5,1,26834.5,02/06/2024,,20240707_124024.jpg,
48,Arghya patre,2.5,Pooja Items,Silver,74,6919,1,6919,02/06/2024,,20240707_124059.jpg,
49,Arghya patre,2.75,Pooja Items,Silver,72,6732,1,6732,02/06/2024,,20240707_124112.jpg,
50,Theerthada thatte stand peetha 1 leg,6.5 inches,Pooja Items,Silver,560,52360,1,52360,02/06/2024,,20240707_124222.jpg,
51,Theerthada thatte stand 3 legs,3.5 inches,Pooja Items,Silver,157,14679.5,1,14679.5,02/06/2024,,20240707_124312.jpg,
52,Belli chatri,7 inches,Pooja Items,Silver,143,13370.5,1,13370.5,02/06/2024,,20240707_124337.jpg,
53,Deepada Kamba jote,17 inches,Pooja Items,Silver,774,72369,1,72369,02/06/2024,,20240707_124439.jpg,
54,Deepada Kamba jote (Trishula),12.5 inches,Pooja Items,Silver,396,37026,1,37026,02/06/2024,,20240707_124502.jpg,
55,Deepada Kamba jote (battalu),7.26 inches,Pooja Items,Silver,268,25058,1,25058,02/06/2024,,20240707_124523.jpg,
56,Deepada Kamba jote (5 batti),9.5 inches,Pooja Items,Silver,260,24310,1,24310,02/06/2024,,20240707_124546.jpg,
57,Deepada Kamba jote,4.25 inches,Pooja Items,Silver,100,9350,1,9350,02/06/2024,,20240707_124624.jpg,
58,Deepada Kamba jote,4 inches,Pooja Items,Silver,74,6919,1,6919,02/06/2024,,20240707_124624.jpg,
59,Paduke jote (excluding wooden core),"7.5 inches, Approx. Weight of silver only",Pooja Items,Silver,250,23375,1,23375,02/06/2024,,20240707_124655.jpg,
60,Paduke jote (pure silver),7.5 inches,Pooja Items,Silver,390,36465,1,36465,02/06/2024,,20240707_121154.jpg,
61,Paduke jote (pure silver),10 inches,Pooja Items,Silver,466,43571,1,43571,02/06/2024,,20240707_121207.jpg,
62,Ganapati kireeta,6 inches,Pooja Items,Silver,119,11126.5,1,11126.5,02/06/2024,,20240707_124810.jpg,
63,Rayara mukhavada,6 inches,Pooja Items,Silver,217,20289.5,1,20289.5,02/06/2024,,20240707_125447.jpg,New photo taken on Jan 30 2026 to be replaced
64,Madhvarayara Kavacha with Bennu peetha -Two pieces - 64/1 and 64/2,6 inches,Pooja Items,Silver,379,35436.5,1,35436.5,02/06/2024,,20240707_132702.jpg,
65,Anjaneyana kavacha with mukhavada  -Two pieces - 65/1 and 65/2,6.5 inches,Pooja Items,Silver,473,44225.5,1,44225.5,02/06/2024,,20240707_131051.jpg,
66,"Ganapati vibhuti tilaka, sanna kireeta?",5 inches (width),Pooja Items,Silver,22,2057,1,2057,02/06/2024,,https://photos.google.com/photo/AF1QipMtFPQLt9tkvkuuZoSURPgjhyCcvGjx5rtzsMmd,
67,Rayara utsava murti kavacha,9.5 inches,Pooja Items,Silver,189,17671.5,1,17671.5,02/06/2024,,20240707_125447.jpg,
68,Belli chamarada hidi,11 inches,Pooja Items,Silver,500,46750,2,93500,02/06/2024,,20250528_114505.heic,
